Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	022929	16:00:56,994.381.780	73	0.018	12.267	0.938	2.594	33.818	12.265	2.077	0.371
1	022939	16:00:57,038.854.750	134	-1.294	22.098	0.891	3.788	14.904	13.516	14.971	1.136
1	022955	16:00:57,099.755.940	155	-0.041	-17.044	0.989	7.741	18.714	17.029	51.634	1.143
1	022958	16:00:57,114.175.790	98	-2.228	-58.847	1.178	1.570	31.252	24.101	2.527	0.881
1	022982	16:00:57,223.722.600	636	-1.554	-0.921	2.974	8.146	21.083	0.498	10.034	0.024
1	023011	16:00:57,446.488.640	59	0.346	25.701	1.225	2.103	29.879	24.291	3.357	0.949
1	023051	16:00:57,658.508.470	66	-0.258	-3.565	1.013	2.304	11.345	3.452	1.318	0.309
1	023059	16:00:57,676.418.760	84	2.077	70.923	1.429	2.334	35.033	30.768	4.988	1.072
1	023109	16:00:58,023.134.110	184	-1.531	-33.764	1.162	1.971	37.606	18.465	2.170	0.513
1	023166	16:00:58,357.784.210	324	-1.167	2.303	1.306	2.187	3.626	1.499	3.411	0.426
1	023177	16:00:58,390.060.910	120	0.144	12.051	1.568	2.051	18.850	11.928	2.905	0.685
1	023181	16:00:58,397.878.140	714	-3.355	-72.602	2.314	3.826	23.972	20.739	20.489	1.045
1	023195	16:00:58,441.213.410	56	0.644	-3.732	0.834	2.183	9.410	3.137	1.589	0.340
1	023206	16:00:58,518.161.400	340	0.799	-31.468	1.746	2.080	24.664	24.579	7.761	1.488
1	023216	16:00:58,576.747.220	85	-0.333	-3.575	1.123	2.231	6.365	3.391	2.706	0.562
1	023220	16:00:58,591.821.980	249	1.056	5.180	0.959	2.531	11.612	3.562	1.843	0.312
1	023233	16:00:58,633.645.910	385	1.020	11.283	2.047	6.715	24.078	7.899	15.010	0.334
1	023252	16:00:58,760.661.340	512	0.651	-28.880	1.560	2.921	24.211	24.203	15.133	1.545
1	023264	16:00:58,801.270.440	1352	-0.583	-25.695	1.895	4.754	24.697	22.193	29.980	1.117
1	023276	16:00:58,839.455.910	53	-0.952	20.350	0.857	2.057	17.301	14.740	3.677	1.020
1	023302	16:00:58,963.430.380	117	-2.267	-77.929	1.115	2.575	38.063	31.455	6.251	0.973
1	023310	16:00:59,000.078.980	55	0.136	9.317	0.987	5.828	11.902	9.232	18.044	0.888
1	023312	16:00:59,012.157.260	51	0.498	10.689	1.252	1.914	13.017	9.570	3.373	0.826
1	023315	16:00:59,022.390.210	95	-0.355	9.375	1.126	11.689	22.732	8.836	18.104	0.399
1	023341	16:00:59,157.907.070	61	-7.532	139.653	0.881	1.728	21.238	18.380	3.815	1.046
1	023359	16:00:59,258.036.710	23019	1.711	-45.016	1.857	2.872	25.061	22.718	17.777	1.135
1	023378	16:00:59,340.038.580	85	-0.242	29.303	0.644	2.859	28.789	28.479	8.270	1.424
1	023380	16:00:59,342.601.230	354	-3.536	45.997	1.782	2.286	15.596	12.519	8.666	0.932
1	023404	16:00:59,463.046.630	115	-3.875	25.264	1.362	1.684	13.669	6.313	3.341	0.480
1	023431	16:00:59,644.851.430	54	0.153	9.313	0.379	16.203	18.265	9.207	52.090	0.528
1	023473	16:00:59,849.042.330	101	-11.746	111.598	0.858	2.301	23.621	9.467	2.529	0.412
1	023505	16:01:00,000.723.690	89	-43.049	-1399.071	1.095	1.903	32.833	32.491	4.500	1.426
1	023519	16:01:00,070.239.450	64	0.834	9.000	1.182	11.222	11.182	6.912	38.820	0.666
1	023531	16:01:00,125.073.620	136	0.175	18.373	1.133	2.150	20.419	18.097	5.749	1.089
