Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth
1	000001	11:11:42,700.971.200	71	1.314	34.484	1.205	1.541	22.333	20.885	3.098
1	000009	11:11:42,902.162.650	116	0.706	31.342	1.247	2.795	31.207	25.598	7.808
1	000012	11:11:42,925.094.020	476	-0.022	23.191	2.950	7.694	27.745	23.186	47.079
1	000017	11:11:43,022.008.460	50	-33.448	-327.764	0.914	1.918	27.166	9.795	1.718
1	000026	11:11:43,145.806.110	578	0.264	-34.045	1.844	3.225	34.883	32.916	27.732
1	000028	11:11:43,159.103.450	86	1.362	2.927	1.557	2.176	6.980	1.732	2.606
1	000041	11:11:43,306.168.150	54	-0.418	21.229	0.712	2.403	24.421	19.590	6.126
1	000065	11:11:43,538.299.240	197	2.379	36.036	1.159	4.840	13.965	13.965	31.330
1	000077	11:11:43,666.612.250	171	-0.729	-23.631	1.701	2.191	20.150	19.097	6.618
1	000092	11:11:43,885.709.020	74	-0.011	-16.020	0.914	2.322	16.641	16.019	7.056
1	000099	11:11:44,032.865.670	43	-2.622	-18.876	1.130	1.664	22.266	6.726	1.369
1	000102	11:11:44,066.759.160	391	0.648	-41.138	0.978	5.917	34.789	34.520	21.425
1	000103	11:11:44,075.963.070	71	-0.042	-13.092	1.484	16.395	13.092	13.081	229.988
1	000106	11:11:44,082.112.580	57	1.695	45.223	0.659	2.931	23.396	22.976	8.269
1	000110	11:11:44,111.200.310	76	-1.285	23.577	1.199	4.542	30.267	14.478	7.985
1	000120	11:11:44,195.208.200	1067	2.809	-85.944	2.356	8.885	31.585	28.823	100.068
1	000127	11:11:44,246.605.940	3107	3.063	-94.807	2.533	2.822	32.321	29.427	29.857
1	000148	11:11:44,555.555.640	71	1.443	-6.598	1.035	1.780	20.929	3.757	1.241
1	000150	11:11:44,597.347.980	134	-0.348	25.704	1.402	2.758	25.021	24.272	9.006
1	000152	11:11:44,602.263.370	99	0.318	12.427	0.632	2.563	22.145	11.844	4.090
1	000155	11:11:44,620.577.640	1256	-2.137	27.739	2.715	3.596	26.788	11.756	20.040
1	000176	11:11:44,880.924.250	140	0.980	24.615	1.453	2.885	17.895	17.583	10.538
1	000181	11:11:44,938.504.550	812	-0.218	1.049	1.631	4.892	8.031	1.025	5.514
1	000193	11:11:45,049.134.310	57	-1.583	29.252	1.222	3.833	15.626	15.620	14.825
1	000198	11:11:45,152.717.570	48	1.279	4.600	1.121	1.711	8.471	2.833	1.390
1	000199	11:11:45,159.520.480	2287	-0.532	12.840	2.044	6.709	26.669	11.336	20.226
1	000204	11:11:45,217.944.320	54	0.201	-24.080	0.859	1.944	23.815	23.609	4.999
1	000218	11:11:45,340.824.340	104	-0.208	3.637	1.531	2.667	24.322	3.561	2.459
1	000222	11:11:45,387.268.260	69	-2.159	-54.495	1.016	3.446	26.596	22.900	9.013
1	000227	11:11:45,458.038.300	53	-1.551	49.598	1.002	1.779	31.045	26.876	4.545
1	000228	11:11:45,479.818.450	280	-1.371	3.908	1.442	3.694	11.988	2.302	4.300
1	000239	11:11:45,557.816.140	54	1.358	-5.114	0.733	3.844	29.283	3.032	0.811
1	000242	11:11:45,605.843.990	154	3.918	-55.516	1.005	3.147	15.529	13.730	12.380
1	000257	11:11:45,801.885.710	87	-0.266	-19.715	0.985	1.666	22.415	19.052	5.029
1	000268	11:11:45,908.336.610	177	-1.443	22.847	1.422	8.266	13.540	13.011	64.989
1	000269	11:11:45,912.803.200	300	1.021	5.237	1.315	4.979	15.252	3.663	4.498
1	000271	11:11:45,953.377.190	329	-0.044	-33.243	1.766	2.086	33.561	33.211	5.714
1	000272	11:11:45,966.005.410	267	3.498	73.777	2.014	4.121	26.488	20.281	14.199
1	000273	11:11:45,971.696.100	129	0.755	-19.282	1.368	15.582	22.016	15.388	151.689
1	000276	11:11:46,067.457.700	105	-1.315	15.748	1.273	2.900	27.450	9.532	3.196
1	000289	11:11:46,149.566.730	4260	0.845	-44.708	1.822	3.801	34.336	34.153	22.417
1	000291	11:11:46,169.164.050	58	2.891	-78.143	0.929	2.281	26.177	25.544	4.854
1	000292	11:11:46,194.515.250	75	-1.681	-54.015	0.690	2.815	30.346	27.610	8.071
1	000306	11:11:46,334.868.240	37	-0.493	4.065	0.949	2.107	21.127	3.646	1.234
1	000310	11:11:46,419.772.180	64	2.657	-26.347	0.790	2.406	11.790	9.282	6.169
1	000312	11:11:46,436.615.710	94	-1.070	-36.440	1.222	2.631	28.393	24.883	5.642
1	000313	11:11:46,438.541.930	183	0.184	8.443	1.376	4.550	20.689	8.303	6.054
1	000317	11:11:46,487.559.920	471	1.048	-50.325	1.441	3.635	34.891	34.733	19.218
1	000328	11:11:46,585.767.850	69	2.100	-34.115	1.710	4.850	18.819	14.669	14.125
1	000334	11:11:46,634.022.630	205	-3.146	-7.681	1.431	5.867	20.148	2.327	3.202
1	000354	11:11:46,913.030.860	133	-0.004	8.567	1.131	5.822	8.570	8.566	41.086
1	000359	11:11:46,962.298.630	65	-8.643	160.730	0.961	1.888	19.909	18.473	4.355
1	000360	11:11:46,972.820.390	70	-0.770	3.226	1.423	2.381	4.060	2.556	4.340
