Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	000989	15:59:06,594.995.560	247	-1.283	-14.718	1.162	2.142	29.610	9.046	1.812	0.310
1	000990	15:59:06,612.304.650	59	0.451	-0.213	0.948	14.162	10.691	0.194	1.067	0.018
1	001001	15:59:06,645.591.920	101	1.420	-36.584	1.770	10.427	23.060	21.064	88.798	1.152
1	001040	15:59:06,892.060.430	272	0.401	-35.808	0.979	7.104	34.360	33.232	97.877	1.314
1	001046	15:59:06,932.470.960	288	0.779	-44.104	1.526	4.260	34.923	34.793	16.163	1.484
1	001074	15:59:07,076.402.440	70	-1.414	13.285	0.710	2.528	22.125	7.672	1.755	0.354
1	001100	15:59:07,191.391.030	237	-6.192	112.881	0.519	26.109	20.257	17.996	356.893	1.094
1	001118	15:59:07,269.848.750	103	0.175	19.617	1.409	2.513	26.413	19.325	4.515	0.821
1	001125	15:59:07,295.738.320	630	4.282	117.885	1.763	3.277	28.336	26.808	15.923	1.241
1	001127	15:59:07,301.591.810	87	12.025	70.600	0.997	3.044	6.844	5.851	7.285	1.025
1	001187	15:59:07,586.981.690	177	-1.480	28.322	1.102	4.236	24.308	15.855	10.573	0.711
1	001197	15:59:07,653.585.700	141	-0.066	-3.095	1.072	4.106	4.944	3.088	7.398	0.675
1	001200	15:59:07,666.586.950	41	7.685	161.110	1.623	1.747	20.979	20.789	3.375	1.436
1	001212	15:59:07,719.678.950	417	3.303	-42.271	1.400	7.259	18.727	12.249	28.971	0.713
1	001224	15:59:07,816.657.630	139	0.078	-2.562	4.417	8.356	13.152	2.554	23.963	0.195
1	001266	15:59:08,040.492.410	65	1.403	-15.355	1.578	1.981	18.110	8.914	3.123	0.515
1	001303	15:59:08,248.200.550	64	-0.517	-29.198	0.893	1.940	26.388	25.933	4.908	1.385
1	001321	15:59:08,369.304.890	122	3.030	3.266	1.029	6.806	2.897	1.024	7.568	0.361
1	001327	15:59:08,386.954.390	81	-0.234	-25.917	0.929	1.629	25.253	25.235	4.255	1.533
1	001332	15:59:08,439.160.200	47	-1.220	-19.914	0.927	2.106	17.620	12.624	3.302	0.799
1	001343	15:59:08,495.110.720	76	-0.823	13.726	0.876	1.881	19.085	10.598	2.934	0.589
1	001350	15:59:08,523.907.990	58	-1.199	-13.124	0.790	2.767	9.260	8.405	7.806	1.138
